Account Number,Account Description,Store,StoreID,Cost Centre,Cost Centre Name,FacilityID,Cluster,ClusterID,Department,DepartmentID,Store Facility,Store Facility ID,Reason Code,Reason Description
4-75100-H02-101-2001-00-000,Medical Supplies,Medical Stores,5,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,AHPF A & E-M   ,AHPF A&E - Medical             
4-76100-H02-101-2001-00-000,Food Supplies,Food Stores,2,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,AHPF A & E-F   ,AHPF A&E- Food                 
4-76300-H02-101-2001-00-000,Linen Supplies,Linen Stores,4,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,AHPF A & E-L   ,Ambulatory Care-Linen Supplies 
4-76400-H02-101-2001-00-000,Hardware Supplies,Hardware Stores,3,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,AHPF A & E-H   ,Ambulatory Care-Hardware Sup   
4-87900-H02-101-2001-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,,
4-75100-D01-101-2001-00-000,Medical Supplies,Medical Stores,5,D01,Couva District Health Facility,9,Caroni South,1,Accident & Emergency,1,San Fernando General Hospital,1,CDHF A&E-M     ,CDHF A&E-Medical               
4-76300-D01-101-2001-00-000,Linen Supplies,Linen Stores,4,D01,Couva District Health Facility,9,Caroni South,1,Accident & Emergency,1,San Fernando General Hospital,1,CDHF A&E-L     ,CDHF A&E- Linen                
4-76400-D01-101-2001-00-000,Hardware Supplies,Hardware Stores,3,D01,Couva District Health Facility,9,Caroni South,1,Accident & Emergency,1,San Fernando General Hospital,1,CDHF A&E-H     ,CDHF A&E-Hardware              
4-87900-H02-201-0201-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Blood Bank,4,Area Hospital Point Fortin,2,AHPF BLD BNK-S ,AHPF Blood Bank- Stationery    
4-75100-H04-101-2001-00-000,Medical Supplies,Medical Stores,5,H04,Point Fortin Hospital,34,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,PFH A&E-M      ,PFH A&E-Medical                
4-76100-H04-101-2001-00-000,Food Supplies,Food Stores,2,H04,Point Fortin Hospital,34,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,PFH A&E-F      ,PFH A&E-Food                   
4-76300-H04-101-2001-00-000,Linen Supplies,Linen Stores,4,H04,Point Fortin Hospital,34,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,PFH A&E-L      ,PFH A&E-Linen                  
4-76400-H04-101-2001-00-000,Hardware Supplies,Hardware Stores,3,H04,Point Fortin Hospital,34,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,PFH A&E-H      ,PFH A&E-Hardware               
4-87900-H02-105-2104-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Diabetic Clinic,23,Area Hospital Point Fortin,2,,
4-75100-D02-101-2001-00-000,Medical Supplies,Medical Stores,5,D02,Princes Town District Health Facility,35,Victoria South,5,Accident & Emergency,1,Princes Town District Health Facility,3,PTDHF A & E-M  ,PTDHF A&E-Medical              
4-76300-D02-101-2001-00-000,Linen Supplies,Linen Stores,4,D02,Princes Town District Health Facility,35,Victoria South,5,Accident & Emergency,1,Princes Town District Health Facility,3,PTDHF A & E-L  ,PTDHF A&E- Linen               
4-76400-D02-101-2001-00-000,Hardware Supplies,Hardware Stores,3,D02,Princes Town District Health Facility,35,Victoria South,5,Accident & Emergency,1,Princes Town District Health Facility,3,PTDHF A & E-H  ,PTDHF A&E- Hardware            
4-87900-H02-203-0251-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Dietetics & Kitchen,25,Area Hospital Point Fortin,2,,
4-75100-H01-101-2001-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Accident & Emergency,1,San Fernando General Hospital,1,SFGH A & E-M   ,SFGH A&E - Medical             
4-76100-H01-101-2001-00-000,Food Supplies,Food Stores,2,H01,San Fernando General Hospital,39,Victoria North,4,Accident & Emergency,1,San Fernando General Hospital,1,SFGH A & E-F   ,Ambulatory Care-Food Supplies  
